fy,fx,m,x,y,phi,t
2,1,2,-0.880526,19.1345,0.0006926519490050496,34.72661876678467
2,1,3,-0.88709,19.2025,0.0009256454941106493,34.10628604888916
3,1,-3,-1.98081,28.6135,0.0013048396527991057,33.79278540611267
3,1,-2,-1.96551,28.5098,0.0010093557983276243,34.43690252304077
3,1,-1,-1.95322,28.4243,0.0007169040280261016,34.59318733215332
3,1,0,-1.94387,28.3568,0.00042651637834071324,34.99054288864136
3,1,1,-1.95322,28.4243,0.0007169040280261016,34.90250277519226
3,1,2,-1.96551,28.5098,0.0010093557983276243,34.51145911216736
3,1,3,-1.98081,28.6135,0.0013048396527991057,33.80456733703613
4,1,-3,-3.47487,37.8104,0.001852840175543787,35.64001131057739
4,1,-2,-3.44936,37.6827,0.0014696137414955009,34.8086256980896
4,1,-1,-3.4255,37.5597,0.0010920654911111519,36.262707233428955
4,1,0,-3.40682,37.4604,0.0007187104810391428,37.08048915863037
4,1,1,-3.4255,37.5597,0.0010920654911111519,38.12989616394043
4,1,2,-3.44936,37.6827,0.0014696137414955009,37.18161749839783
4,1,3,-3.47487,37.8104,0.001852840175543787,38.92292833328247
5,1,-3,-5.33817,46.7486,0.002597287833560024,36.91691589355469
5,1,-2,-5.28964,46.5536,0.002099420333789057,35.40789818763733
5,1,-1,-5.2497,46.3898,0.0016121942318489768,34.868293046951294
5,1,0,-5.21794,46.2559,0.0011327751706761537,35.80040645599365
5,1,1,-5.2497,46.3898,0.0016121942318489768,36.13862752914429
5,1,2,-5.28964,46.5536,0.002099420333789057,35.98773407936096
5,1,3,-5.33817,46.7486,0.002597287833560024,36.234336853027344
6,1,-3,-7.53153,55.3765,0.003561662358861842,37.53767371177673
6,1,-2,-7.45701,55.1272,0.002923092220484961,37.39461588859558
6,1,-1,-7.39496,54.9154,0.0023013552301048078,38.118759632110596
6,1,0,-7.34469,54.7396,0.001692582304805392,39.53807735443115
6,1,1,-7.39496,54.9154,0.0023013552301048078,38.34577941894531
6,1,2,-7.45701,55.1272,0.002923092220484961,40.31746196746826
6,1,3,-7.53153,55.3765,0.003561662358861842,43.04523015022278
7,1,-3,-10.0143,63.6618,0.004766593685074338,45.91648721694946
7,1,-2,-9.90695,63.3538,0.003960103220960177,42.48214244842529
7,1,-1,-9.81672,63.09,0.0031793461773307074,43.313021659851074
7,1,0,-9.74254,62.8681,0.002417998407542777,38.967432260513306
7,1,1,-9.81672,63.09,0.0031793461773307074,37.60183382034302
7,1,2,-9.90695,63.3538,0.003960103220960177,37.22451066970825
7,1,3,-10.0143,63.6618,0.004766593685074338,37.34028148651123
8,1,-3,-12.7462,71.5853,0.006228891418004243,37.56097722053528
8,1,-2,-12.5973,71.2108,0.005226377051095583,39.14130973815918
8,1,-1,-12.4722,70.8905,0.004261256282353351,39.070213079452515
8,1,0,-12.3682,70.6182,0.003325149035302918,38.88428354263306
8,1,1,-12.4722,70.8905,0.004261256282353351,39.199312925338745
8,1,2,-12.5973,71.2108,0.005226377051095583,38.808513164520264
8,1,3,-12.7462,71.5853,0.006228891418004243,38.57439565658569
9,1,-3,-15.6844,79.1273,0.007961608022727846,38.8578667640686
9,1,-2,-15.4893,78.6906,0.006736585361067095,38.68872261047363
9,1,-1,-15.3228,78.3114,0.00556184224976332,39.434879302978516
9,1,0,-15.1831,77.9861,0.004427053571404793,38.95565104484558
9,1,1,-15.3228,78.3114,0.00556184224976332,38.7126305103302
9,1,2,-15.4893,78.6906,0.006736585361067095,38.59078645706177
9,1,3,-15.6844,79.1273,0.007961608022727846,43.51259469985962
10,1,-3,-18.7965,86.2965,0.009978018016168896,40.92174768447876
